Unidade/Ambulatório,Código
AMB PRONTO ATENDIMENTO,7
UNIDADE DE CLINICA CIRURGICA HUWC,9
CLINICA CIRURGICA,9
AMB ENDOCRINOLOGIA,12
CLI MEDICA I,48
CLI IIA - HUWC,49
CLI MEDICA  II A,49
CLI IIB - HUWC,50
CLI MEDICA  II B,50
CIR III,51
CIR IV,52
CIR. PED.,52
CLI MEDICA PEDIATRICA,52
CIR I - HUWC,53
CLI CIRURG I,53
CLI CIRURGICA II,54
AMB NEFROLOGIA,56
AMB NEFR - HUWC,56
AMB NEF - HUWC,56
AMB URO - HUWC,57
AMB UROLOGIA,57
AMB POS-TRANSP RENAL,58
AMB PRE-TRANSPLANTE RENAL,58
AMB HEMODIALISE,59
AMB HEMAT - HUWC,61
AMB HEMATOLOGIA,61
AMB PEDIATRIA,63
AMB CARDIOLOGIA,65
AMB DERM - HUWC,67
AMB DERMATOLOGIA,67
AMBULATORIO DE CUIDADOS PALIATIVOS HUWC,69
AMB NEUR - HUWC,71
AMB NEUROLOGIA,71
AMB REU - HUWC,72
AMB REUMATOLOGIA,72
AMB INFEC - HUWC,74
AMB INFECTO,74
AMB CLINICA MEDICA,75
AMB GERIATRIA,76
AMB PNEU - HUWC,77
AMB PNEUMOLOGIA,77
AMB.GERAL,80
AMB GERAL,80
AMB CIR - HUWC,81
AMB SERV - HUWC,85
AMB DO SERVIDOR,85
AMB OFTALMOLOGIA,86
AMB OFT - HUWC,86
AMB OTORRINOLARINGOLOGIA,87
AMB OTORR - HUWC,87
AMB GASTROENTEROLOGIA,90
AMB GAST - HUWC,90
AMB PROCTOLOGIA,91
AMB POS-TRANS FIGADO,92
AMB PRE-TRANS FIGADO,92
UTI,94
U.T.I.,94
U.T.I,94
SALA DE RECUPERACAO,95
CENTRO CIRURGICO,96
UTI COVID - HUWC,97
UTI - COVID,97
UTI II - COVID,97
OUTROS,98
UNIDADE DE CABEÇA E PESCOÇO HUWC,102
CLI CIR TRANSP RENAL,106
MEDULA OSSEA - TMO,107
MEDULA OSSEA - TMO - HUWC,107
MEDULA OSSEA TMO - HUWC,107
CIR IV,111
