Microrganismo,Código
Escherichia coli,9
Klebsiella pneumoniae,2
Staphylococcus haemolyticus,17
Enterococcus faecalis,0
Candida glabrata,0
Proteus mirabilis,0
Sphingomonas paucimobilis,0
Enterobacter cloacae,0
Staphylococcus epidermidis,0
Pseudomonas aeruginosa,0
Outro,29
Stenotrophomonas maltophilia,0
Staphylococcus saprophyticus,0
Citrobacter koseri,0
Candida albicans,0
Acinetobacter baumannii,0
Klebsiella aerogenes,0
Candida parapsilosis,0
Staphylococcus aureus,0
Pseudomonas Fluorescens,0
Serratia marcescens,0
Morganela morganii,0
Staphylococcus hominis,0
Candida tropicalis,0
Streptococcus agalactiae,0
Staphyloccos coagulase negativo,0
Providencia stuartii,0
Micrococus sp,0
Candida famata,0
Complexo Burkholderia cepacia,0
Streptococcus spp,0
Pseudomonas putida,0
Citrobacter freundii,0
Klebsiella oxytoca,0
Streptococcus mitis,0
Salmonella spp,0
Enterococcus faecium,0
Kocuria sp,0
Staphylococcus spp,0
Citrobacter spp,0
Enterobacter aerogenes,0
Streptococcus do grupo viridans,0
Enterobacter spp,0
Acinetobacter spp,0
Proteus spp,0
Streptococcus pneumoniae,0
Enterococcus gallinarum,0
Pseudomonas stutzeri,0
Elizabethkingia meningoseptica,0
Acinetobacter lwoffii,0
Pseudomonas mendocina,0
Enterococcus spp,0
Kluyvera intermedia,0
Proteus penneri,0
Proteus hauseri,0
Providencia rettgeri,0
Kluyvera cryocrescens,0
Edwardsiella spp.,0
Staphylococcus lugdunensis,0
Candida krusei,0
Citrobacter amalonaticus,0
Serratia odorifera,0
Salmonella entérica,0
Citrobacter farmeri,0
Cronobacter sakazakii,0
