Microrganismo,Código
Acinetobacter baumannii,0
Acinetobacter lwoffii,0
Acinetobacter spp,0
Citrobacter amalonaticus,0
Citrobacter farmeri,0
Citrobacter freundii,0
Citrobacter koseri,0
Citrobacter spp,0
Complexo Burkholderia cepacia,0
Cronobacter sakazakii,0
Edwardsiella spp.,0
Elizabethkingia meningoseptica,0
Enterobacter aerogenes,0
Enterobacter cloacae,0
Enterobacter spp,0
Escherichia coli,0
Klebsiella aerogenes,0
Klebsiella oxytoca,0
Klebsiella pneumoniae,0
Kluyvera cryocrescens,0
Kluyvera intermedia,0
Morganela morganii,0
Proteus hauseri,0
Proteus mirabilis,0
Proteus penneri,0
Proteus spp,0
Providencia rettgeri,0
Providencia stuartii,0
Pseudomonas aeruginosa,0
Pseudomonas fluorescens,0
Pseudomonas mendocina,0
Pseudomonas putida,0
Pseudomonas stutzeri,0
Salmonella entérica,0
Salmonella spp,0
Serratia marcescens,0
Serratia odorifera,0
Sphingomonas paucimobilis,0
Stenotrophomonas maltophilia,0
